F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s
1,1,3,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,0,scaling_F1_N1_M3_par_zmq_local,20260727_094742,1.242846965789795,0.21100282669067383,0.010291576385498047,1.9270389080047607,20,0.09634968042373657,0.037723541259765625,0.04674243927001953,,729.66015625,666.08125,31.135852914419605
1,1,3,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,1,scaling_F1_N1_M3_par_zmq_local,20260727_094748,1.3815314769744873,0.3094146251678467,0.009854793548583984,2.06607723236084,20,0.10329861640930176,0.042920589447021484,0.07712006568908691,,730.0859375,720.8125,29.04054072143273
1,1,3,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,2,scaling_F1_N1_M3_par_zmq_local,20260727_094753,1.1668405532836914,0.21231436729431152,0.009734869003295898,2.0043413639068604,20,0.10021212100982665,0.05381476879119873,0.06814408302307129,,729.70703125,694.3733333333333,29.935020591027495
1,1,4,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,0,scaling_F1_N1_M4_par_zmq_local,20260727_094759,1.102794885635376,0.2112867832183838,0.010466575622558594,1.530390977859497,20,0.07651612758636475,0.03563535213470459,0.043341875076293945,,864.59765625,844.0,52.27422348757775
1,1,4,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,1,scaling_F1_N1_M4_par_zmq_local,20260727_094803,1.0860624313354492,0.21088695526123047,0.009594917297363281,1.8656814098358154,20,0.09328067302703857,0.03688621520996094,0.060218095779418945,,865.484375,720.8866666666668,42.879775495560196
1,1,4,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,2,scaling_F1_N1_M4_par_zmq_local,20260727_094809,1.0922486782073975,0.21102237701416016,0.009874582290649414,1.424057960510254,20,0.07119901180267334,0.03167903423309326,0.034520626068115234,,865.4375,883.4166666666666,56.17748871073704
1,1,5,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,0,scaling_F1_N1_M5_par_zmq_local,20260727_094814,1.1091604232788086,0.21317005157470703,0.011837244033813477,2.680917739868164,20,0.13404139280319213,0.07423293590545654,0.11171793937683105,,865.296875,708.5124999999999,37.30065958865175
1,1,5,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,1,scaling_F1_N1_M5_par_zmq_local,20260727_094819,1.2309608459472656,0.21085715293884277,0.009609699249267578,2.2435340881347656,20,0.1121705412864685,0.05807697772979736,0.10871338844299316,,866.86328125,499.5266666666667,44.57253425694023
1,1,5,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,2,scaling_F1_N1_M5_par_zmq_local,20260727_094825,1.0746121406555176,0.21085906028747559,0.00950932502746582,2.2204878330230713,20,0.11102101802825928,0.058615803718566895,0.12294411659240723,,867.48046875,701.3266666666666,45.03514881405837
1,1,7,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,0,scaling_F1_N1_M7_par_zmq_local,20260727_094830,1.1305043697357178,0.21236085891723633,0.009642362594604492,2.4557244777679443,20,0.12278385162353515,0.07555949687957764,0.12473678588867188,,866.91015625,530.68,57.00965286107696
1,1,7,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,1,scaling_F1_N1_M7_par_zmq_local,20260727_094836,1.080810308456421,0.21051383018493652,0.0077741146087646484,3.4639527797698975,20,0.17319306135177612,0.12946772575378418,0.13508367538452148,,867.4140625,430.91818181818184,40.4162553305071
1,1,7,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,2,scaling_F1_N1_M7_par_zmq_local,20260727_094844,1.4907469749450684,0.21126770973205566,0.009944677352905273,3.6654558181762695,20,0.1832676887512207,0.1229856014251709,0.17092251777648926,,866.17578125,606.8318181818181,38.19443118254699
1,1,8,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,0,scaling_F1_N1_M8_par_zmq_local,20260727_094852,1.1428759098052979,0.21422338485717773,0.009392023086547852,2.2034671306610107,20,0.11016997098922729,0.06037020683288574,0.07115340232849121,,866.67578125,739.8733333333333,72.61283718446126
1,1,8,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,1,scaling_F1_N1_M8_par_zmq_local,20260727_094857,1.0945160388946533,0.2108750343322754,0.009468555450439453,2.466578245162964,20,0.12332594394683838,0.06737208366394043,0.1399543285369873,,866.67578125,761.9066666666666,64.86719013019957
1,1,8,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,2,scaling_F1_N1_M8_par_zmq_local,20260727_094903,1.0738556385040283,0.21070098876953125,0.009390830993652344,2.163123607635498,20,0.10815278291702271,0.058232784271240234,0.12956523895263672,,866.08203125,684.14,73.96710915419918
1,1,9,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,0,scaling_F1_N1_M9_par_zmq_local,20260727_094908,1.0826618671417236,0.21070075035095215,0.00937795639038086,2.5708413124084473,20,0.1285387396812439,0.09242856502532959,0.09334897994995117,,865.8984375,731.0866666666667,70.01599014735382
1,1,9,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,1,scaling_F1_N1_M9_par_zmq_local,20260727_094913,1.0601005554199219,0.21069669723510742,0.009423494338989258,2.5416972637176514,20,0.12708067893981934,0.08413958549499512,0.08907771110534668,,866.86328125,664.76,70.81881960116695
1,1,9,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,2,scaling_F1_N1_M9_par_zmq_local,20260727_094919,1.1188158988952637,0.21084165573120117,0.009429693222045898,3.9453811645507812,20,0.1972641944885254,0.09402656555175781,0.2237846851348877,,867.0546875,580.0428571428571,45.6229683502569
1,1,11,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,0,scaling_F1_N1_M11_par_zmq_local,20260727_094926,1.2531661987304688,0.20984458923339844,0.009563446044921875,4.659698009490967,20,0.232978355884552,0.18883109092712402,0.1978898048400879,,866.625,456.8958333333333,47.21336008297095
1,1,11,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,1,scaling_F1_N1_M11_par_zmq_local,20260727_094935,1.0747334957122803,0.21095514297485352,0.009306907653808594,2.963045358657837,20,0.14814908504486085,0.0960085391998291,0.15819311141967773,,865.828125,575.2333333333333,74.24793527280083
1,1,11,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,2,scaling_F1_N1_M11_par_zmq_local,20260727_094941,1.0737063884735107,0.21081781387329102,0.00949716567993164,3.652754545211792,20,0.1826350450515747,0.12176227569580078,0.253521203994751,,867.953125,695.911111111111,60.22851995034451
1,1,12,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,0,scaling_F1_N1_M12_par_zmq_local,20260727_094948,1.102017879486084,0.20807862281799316,0.009683609008789062,3.091017961502075,20,0.15454875230789183,0.10521888732910156,0.18009233474731445,,866.7109375,679.0666666666666,77.6443239700142
1,1,12,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,1,scaling_F1_N1_M12_par_zmq_local,20260727_094954,1.1135351657867432,0.21278071403503418,0.010155439376831055,2.817387342453003,20,0.14086629152297975,0.09108424186706543,0.16671419143676758,,865.55078125,642.2,85.18530497515482
1,1,12,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,2,scaling_F1_N1_M12_par_zmq_local,20260727_095001,1.072753667831421,0.21073436737060547,0.009389638900756836,2.97831654548645,20,0.1489107608795166,0.09509718418121338,0.18096089363098145,,866.171875,703.0277777777778,80.5824351893397
1,1,16,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,0,scaling_F1_N1_M16_par_zmq_local,20260727_095007,1.0932345390319824,0.2122039794921875,0.010103940963745117,4.086984872817993,20,0.2043462872505188,0.12886393070220947,0.26887035369873047,,865.87890625,602.2681818181818,78.29732919450682
1,1,16,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,1,scaling_F1_N1_M16_par_zmq_local,20260727_095015,1.1086442470550537,0.21142172813415527,0.009248971939086914,4.699102401733398,20,0.23495230674743653,0.14875352382659912,0.337752103805542,,867.046875,579.7083333333334,68.09811164829242
1,1,16,par,4,zmq,heavy_compute_dummy,200000.0,local,1,20,2,scaling_F1_N1_M16_par_zmq_local,20260727_095023,1.0986552238464355,0.21090340614318848,0.009583711624145508,3.365791082382202,20,0.1682860493659973,0.12861418724060059,0.14069247245788574,,866.86328125,667.9777777777778,95.07423133747028
1,1,7,par,8,zmq,heavy_compute_dummy,200000.0,local,1,20,0,scaling_F1_N1_M7_par_zmq_local,20260727_095029,1.177164077758789,0.3108530044555664,0.009821414947509766,1.9732849597930908,20,0.098663067817688,0.05214405059814453,0.08568310737609863,,1274.953125,855.7,70.9476851304232
