F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s
1,17,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,0,scaling_F1_N17_M1_seq_zmq_local,20260724_105505,1.7654480934143066,0.21083307266235352,0.14236783981323242,0.004880666732788086,30,0.0001607815424601237,0.00014901161193847656,0.00022721290588378906,,2487.671875,2892.3888888888887,104493.9201797665
1,17,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,1,scaling_F1_N17_M1_seq_zmq_local,20260724_105508,1.8336164951324463,0.21094298362731934,0.14307761192321777,0.00759434700012207,30,0.000250244140625,0.00023066997528076172,0.0003993511199951172,,2482.53515625,2828.7000000000003,67155.21426553228
1,17,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,2,scaling_F1_N17_M1_seq_zmq_local,20260724_105512,1.8062238693237305,0.21510982513427734,0.1758403778076172,0.005008697509765625,30,0.00016508897145589191,0.00014650821685791016,0.0002434253692626953,,2494.56640625,2843.2333333333336,101822.87890327495
1,33,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,0,scaling_F1_N33_M1_seq_zmq_local,20260724_105516,2.4527151584625244,0.2153177261352539,0.30730605125427246,0.0073201656341552734,30,0.00024127960205078125,0.000232696533203125,0.0003466606140136719,,4703.0859375,3752.3076923076924,135242.84141614827
1,33,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,1,scaling_F1_N33_M1_seq_zmq_local,20260724_105521,2.447516679763794,0.21250033378601074,0.30774545669555664,0.007638216018676758,30,0.00025177001953125,0.0002307891845703125,0.0003304481506347656,,4699.2421875,3730.330769230769,129611.41679932577
1,33,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,2,scaling_F1_N33_M1_seq_zmq_local,20260724_105526,2.4323315620422363,0.2155160903930664,0.3082246780395508,0.007466316223144531,30,0.0002458969751993815,0.00022840499877929688,0.0003216266632080078,,4703.21484375,3527.584615384615,132595.5090049815
1,49,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,0,scaling_F1_N49_M1_seq_zmq_local,20260724_105531,2.9059622287750244,0.2153933048248291,0.5054459571838379,0.008552789688110352,30,0.0002818743387858073,0.0002639293670654297,0.0003657341003417969,,6903.47265625,4760.861538461539,171873.7457140468
1,49,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,1,scaling_F1_N49_M1_seq_zmq_local,20260724_105536,2.9837052822113037,0.2127532958984375,0.469463586807251,0.00824427604675293,30,0.0002718687057495117,0.00023794174194335938,0.0005691051483154297,,6912.01953125,5045.7307692307695,178305.52878914948
1,49,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,2,scaling_F1_N49_M1_seq_zmq_local,20260724_105541,3.013822078704834,0.21298670768737793,0.4804351329803467,0.008536815643310547,30,0.000281524658203125,0.00026154518127441406,0.00041484832763671875,,6906.7734375,4673.161538461538,172195.35496844104
1,65,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,0,scaling_F1_N65_M1_seq_zmq_local,20260724_105546,3.3774075508117676,0.21162939071655273,0.5867440700531006,0.007812023162841797,30,0.0002574443817138672,0.00023567676544189453,0.00035119056701660156,,9110.8515625,4639.537499999999,249615.2353048892
1,65,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,1,scaling_F1_N65_M1_seq_zmq_local,20260724_105553,3.5380332469940186,0.2157580852508545,1.1400988101959229,0.008223772048950195,30,0.0002711057662963867,0.00023698806762695312,0.0004277229309082031,,9105.69140625,5365.092857142855,237117.46731220826
1,65,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,2,scaling_F1_N65_M1_seq_zmq_local,20260724_105559,3.5770764350891113,0.21525812149047852,0.9833846092224121,0.008153915405273438,30,0.0002689202626546224,0.0002346038818359375,0.0005033016204833984,,9097.6171875,4820.8117647058825,239148.91228070174
1,89,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,0,scaling_F1_N89_M1_seq_zmq_local,20260724_105605,4.49003529548645,0.21317076683044434,1.9513492584228516,0.009377002716064453,30,0.00030951499938964845,0.0002759695053100586,0.0006213188171386719,,12460.08203125,5615.5526315789475,284739.173150267
1,89,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,1,scaling_F1_N89_M1_seq_zmq_local,20260724_105613,4.479166746139526,0.21303629875183105,1.7186369895935059,0.009163141250610352,30,0.00030257701873779295,0.0002460479736328125,0.0005943775177001953,,12406.97265625,6168.472222222223,291384.79119506676
1,89,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,2,scaling_F1_N89_M1_seq_zmq_local,20260724_105621,4.4045538902282715,0.21152305603027344,1.5826146602630615,0.00899815559387207,30,0.00029708544413248696,0.0002595186233520508,0.0006239414215087891,,12413.34765625,6161.623529411765,296727.47621949605
1,112,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,0,scaling_F1_N112_M1_seq_zmq_local,20260724_105628,5.319369792938232,0.21128582954406738,2.538804531097412,0.01045846939086914,30,0.00034573078155517576,0.0003241300582885742,0.0005583763122558594,,15529.90625,7017.531578947371,321270.7208316236
1,112,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,1,scaling_F1_N112_M1_seq_zmq_local,20260724_105637,5.485726356506348,0.21340441703796387,2.833355188369751,0.011971473693847656,30,0.0003958622614542643,0.0002503395080566406,0.0006220340728759766,,15567.58984375,6620.733333333333,280667.1998725404
1,112,1,seq,,zmq,heavy_compute_dummy,1.0,local,1,30,2,scaling_F1_N112_M1_seq_zmq_local,20260724_105646,5.221790313720703,0.2114412784576416,2.5742008686065674,0.011071205139160156,30,0.0003658850987752279,0.0002887248992919922,0.0007379055023193359,,15568.515625,6616.852631578947,303489.99569299683
