F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s
1,17,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,0,scaling_F1_N17_M1_seq_zmq_ss_distributed_nat,20260724_105714,4.675068616867065,0.21130132675170898,0.11461806297302246,0.004880666732788086,30,0.0001608133316040039,0.00014460086822509766,0.0002219676971435547,,1698.29296875,907.7181818181817,104493.9201797665
1,17,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,1,scaling_F1_N17_M1_seq_zmq_ss_distributed_nat,20260724_105722,3.5473616123199463,0.21243977546691895,0.11293387413024902,0.004792451858520508,30,0.00015786488850911458,0.00014257431030273438,0.0002510547637939453,,1697.703125,1290.1375,106417.34441072584
1,17,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,2,scaling_F1_N17_M1_seq_zmq_ss_distributed_nat,20260724_105728,3.521784543991089,0.21446490287780762,0.11804604530334473,0.005307912826538086,30,0.0001748800277709961,0.00014722347259521484,0.00027561187744140625,,1700.69921875,1341.88125,96082.96456003234
1,33,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,0,scaling_F1_N33_M1_seq_zmq_ss_distributed_nat,20260724_105734,3.8760738372802734,0.21361804008483887,0.2481231689453125,0.007846355438232422,30,0.0002597252527872721,0.0001308917999267578,0.0006136894226074219,,3086.21484375,1830.8210526315788,126173.2288058341
1,33,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,1,scaling_F1_N33_M1_seq_zmq_ss_distributed_nat,20260724_105741,3.806688070297241,0.21398162841796875,0.21345829963684082,0.004729747772216797,30,0.0001558701197306315,0.0001379251480102539,0.0002224445343017578,,3082.26171875,1967.1052631578948,209313.48724669826
1,33,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,2,scaling_F1_N33_M1_seq_zmq_ss_distributed_nat,20260724_105748,3.7629077434539795,0.2113652229309082,0.20025134086608887,0.007615327835083008,30,0.00025101502736409503,0.00023472309112548828,0.0003299713134765625,,3061.35546875,1694.678947368421,130000.96928712314
1,49,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,0,scaling_F1_N49_M1_seq_zmq_ss_distributed_nat,20260724_105755,4.1387598514556885,0.21187806129455566,0.2863352298736572,0.007763862609863281,30,0.0002560615539550781,0.00022983551025390625,0.0003592967987060547,,4392.24609375,2400.6249999999995,189338.74462596732
1,49,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,1,scaling_F1_N49_M1_seq_zmq_ss_distributed_nat,20260724_105802,4.284294605255127,0.21408867835998535,0.3123798370361328,0.00826120376586914,30,0.0002724488576253255,0.00025212764739990234,0.0003886222839355469,,4452.5,2583.72,177940.1696969697
1,49,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,2,scaling_F1_N49_M1_seq_zmq_ss_distributed_nat,20260724_105809,4.276061058044434,0.21392607688903809,0.31081342697143555,0.0074694156646728516,30,0.00024613539377848305,0.0002294778823852539,0.0003504753112792969,,4453.5546875,2499.0350000000003,196802.54333046058
1,65,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,0,scaling_F1_N65_M1_seq_zmq_ss_distributed_nat,20260724_105817,4.9441869258880615,0.21329808235168457,0.4102814197540283,0.006884336471557617,30,0.0002282540003458659,0.00012385845184326172,0.0007135868072509766,,5847.12890625,2993.255,283251.6987012987
1,65,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,1,scaling_F1_N65_M1_seq_zmq_ss_distributed_nat,20260724_105824,4.637510061264038,0.21126031875610352,0.36854124069213867,0.007918119430541992,30,0.0002610603968302409,0.00022852420806884766,0.0004239082336425781,,5832.4453125,3263.1105263157897,246270.59709132515
1,65,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,2,scaling_F1_N65_M1_seq_zmq_ss_distributed_nat,20260724_105831,4.54036808013916,0.21372675895690918,0.41330957412719727,0.007275581359863281,30,0.0002399126688639323,0.00023126602172851562,0.00040912628173828125,,5778.46875,2860.905,268019.8191112859
1,89,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,0,scaling_F1_N89_M1_seq_zmq_ss_distributed_nat,20260724_105839,5.228151082992554,0.2157118320465088,0.9127578735351562,0.008530616760253906,30,0.00028143723805745444,0.00023937225341796875,0.0006635189056396484,,8008.81640625,3947.842857142857,312990.2649524874
1,89,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,1,scaling_F1_N89_M1_seq_zmq_ss_distributed_nat,20260724_105847,5.276813983917236,0.213226318359375,0.8695452213287354,0.008336544036865234,30,0.0002754767735799154,0.0002052783966064453,0.0006625652313232422,,7998.44921875,3437.066666666667,320276.60241377336
1,89,1,seq,,zmq_ss,heavy_compute_dummy,1.0,distributed_nat,3,30,2,scaling_F1_N89_M1_seq_zmq_ss_distributed_nat,20260724_105856,5.303539752960205,0.21595478057861328,0.8815956115722656,0.009894609451293945,30,0.0003276666005452474,7.939338684082031e-05,0.001687765121459961,,8020.25390625,3313.0375000000004,269843.8996650683
