F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s,exchange,distance,fanout,msg_width,freq,causality,n_edges,n_subs,max_fed_in,max_fed_out
2,4,1,seq,,zmq_ss,exchange_dummy,,local,1,300,0,scaling_F2_N4_M1_seq_zmq_ss_local,20260728_091609,1.8454477787017822,0.6346075534820557,0.07308030128479004,0.023148298263549805,300,7.62335459391276e-05,8.678436279296875e-05,0.00012493133544921875,,1342.2890625,1947.8200000000002,103679.32764107898,none,,,1,1,,0,0,0,0
2,4,1,seq,,zmq_ss,exchange_dummy,,local,1,300,1,scaling_F2_N4_M1_seq_zmq_ss_local,20260728_091613,1.8449602127075195,0.6340887546539307,0.07335829734802246,0.025596141815185547,300,8.430004119873046e-05,5.996227264404297e-05,0.00014495849609375,,1342.76953125,1620.1799999999998,93764.13122450121,none,,,1,1,,0,0,0,0
2,4,1,seq,,zmq_ss,exchange_dummy,,local,1,300,2,scaling_F2_N4_M1_seq_zmq_ss_local,20260728_091617,1.767582654953003,0.6342334747314453,0.07249045372009277,0.023516178131103516,300,7.746299107869466e-05,6.115436553955078e-05,0.00012993812561035156,,1327.96875,1614.5,102057.40008516333,none,,,1,1,,0,0,0,0
2,4,1,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,0,scaling_F2_N4_M1_seq_zmq_ss_distributed_nat,20260728_091621,4.484623670578003,0.635486364364624,0.07690715789794922,0.02354717254638672,300,7.754007975260417e-05,5.0067901611328125e-05,0.0001239776611328125,,1072.9921875,886.8055555555555,101923.06508444372,none,,,1,1,,0,0,0,0
2,4,1,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,1,scaling_F2_N4_M1_seq_zmq_ss_distributed_nat,20260728_091627,3.984276294708252,0.6386032104492188,0.07599592208862305,0.024056673049926758,300,7.926066716512044e-05,6.699562072753906e-05,0.0001423358917236328,,1074.46484375,1028.1176470588234,99764.41858851745,none,,,1,1,,0,0,0,0
2,4,1,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,2,scaling_F2_N4_M1_seq_zmq_ss_distributed_nat,20260728_091633,3.9704415798187256,0.6376667022705078,0.0742788314819336,0.02251744270324707,300,7.42340087890625e-05,6.794929504394531e-05,0.0001266002655029297,,1071.14453125,976.1470588235294,106584.0393880036,none,,,1,1,,0,0,0,0
2,4,4,seq,,zmq_ss,exchange_dummy,,local,1,300,0,scaling_F2_N4_M4_seq_zmq_ss_local,20260728_091639,1.8935325145721436,0.6343212127685547,0.07448172569274902,0.040055036544799805,300,0.0001327228546142578,8.976459503173828e-05,0.00029277801513671875,,1339.44921875,1849.4181818181817,239670.23446009893,none,,,1,1,,0,0,0,0
2,4,4,seq,,zmq_ss,exchange_dummy,,local,1,300,1,scaling_F2_N4_M4_seq_zmq_ss_local,20260728_091643,1.819990873336792,0.6347670555114746,0.07383847236633301,0.04108309745788574,300,0.00013611555099487304,0.00010204315185546875,0.00032520294189453125,,1345.11328125,1502.4727272727273,233672.741200708,none,,,1,1,,0,0,0,0
2,4,4,seq,,zmq_ss,exchange_dummy,,local,1,300,2,scaling_F2_N4_M4_seq_zmq_ss_local,20260728_091647,1.8527321815490723,0.6334877014160156,0.07288861274719238,0.03890228271484375,300,0.00012897809346516928,0.00012695789337158203,0.0001347064971923828,,1342.95703125,1839.64,246772.15140223573,none,,,1,1,,0,0,0,0
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,0,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat,20260728_091651,4.203531980514526,0.6402943134307861,0.07529973983764648,0.039610862731933594,300,0.000131227970123291,9.822845458984375e-05,0.0003025531768798828,,1073.6796875,856.9888888888888,242357.76092452148,none,,,1,1,,0,0,0,0
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,1,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat,20260728_091657,3.9672484397888184,0.6398501396179199,0.07643580436706543,0.03953289985656738,300,0.0001309800148010254,8.666515350341797e-05,0.0002911090850830078,,1072.046875,918.7529411764707,242835.71493188108,none,,,1,1,,0,0,0,0
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,2,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat,20260728_091703,3.936192035675049,0.6402692794799805,0.07497549057006836,0.039721012115478516,300,0.0001316086451212565,9.059906005859375e-05,0.00032711029052734375,,1071.3515625,1023.5176470588237,241685.68444556487,none,,,1,1,,0,0,0,0
2,4,16,seq,,zmq_ss,exchange_dummy,,local,1,300,0,scaling_F2_N4_M16_seq_zmq_ss_local,20260728_091709,1.8707642555236816,0.6357483863830566,0.07353019714355469,0.12864327430725098,300,0.0004279653231302897,0.0003993511199951172,0.0004980564117431641,,1351.08984375,1698.5900000000001,298499.86489216395,none,,,1,1,,0,0,0,0
2,4,16,seq,,zmq_ss,exchange_dummy,,local,1,300,1,scaling_F2_N4_M16_seq_zmq_ss_local,20260728_091713,1.894035816192627,0.6323299407958984,0.07322478294372559,0.08300471305847168,300,0.00027597586313883463,0.0002357959747314453,0.00037360191345214844,,1349.34765625,1977.75,462624.3328249274,none,,,1,1,,0,0,0,0
2,4,16,seq,,zmq_ss,exchange_dummy,,local,1,300,2,scaling_F2_N4_M16_seq_zmq_ss_local,20260728_091716,1.790830135345459,0.6332094669342041,0.07202792167663574,0.08367586135864258,300,0.0002781867980957031,0.0002353191375732422,0.0005979537963867188,,1351.1015625,1743.8699999999997,458913.7103162166,none,,,1,1,,0,0,0,0
2,4,16,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,0,scaling_F2_N4_M16_seq_zmq_ss_distributed_nat,20260728_091720,4.12544846534729,0.6390054225921631,0.07394051551818848,0.08527112007141113,300,0.0002834630012512207,0.00024175643920898438,0.00038552284240722656,,1077.09375,973.7333333333333,450328.31711183744,none,,,1,1,,0,0,0,0
2,4,16,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,1,scaling_F2_N4_M16_seq_zmq_ss_distributed_nat,20260728_091726,4.14175271987915,0.6400942802429199,0.07430291175842285,0.08053827285766602,300,0.00026777346928914385,0.00021696090698242188,0.0007643699645996094,,1079.82421875,870.5666666666667,476791.9479458381,none,,,1,1,,0,0,0,0
2,4,16,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,2,scaling_F2_N4_M16_seq_zmq_ss_distributed_nat,20260728_091733,3.7736425399780273,0.6372694969177246,0.07460594177246094,0.1397566795349121,300,0.0004647350311279297,0.00040984153747558594,0.0005826950073242188,,1079.2109375,1093.7176470588236,274763.2537334821,none,,,1,1,,0,0,0,0
2,4,1,seq,,zmq_ss,exchange_dummy,,local,1,300,0,scaling_F2_N4_M1_seq_zmq_ss_local_xcross_fed_all2all_w1_f1_same_step,20260728_091739,1.8609471321105957,0.6369383335113525,0.07366275787353516,0.05955386161804199,300,0.00019770304361979167,0.0001748800277709961,0.00024008750915527344,,1345.0859375,1938.3199999999997,40299.653704956625,on,cross_fed,all2all,1,1,same_step,16,4,4,4
2,4,1,seq,,zmq_ss,exchange_dummy,,local,1,300,1,scaling_F2_N4_M1_seq_zmq_ss_local_xcross_fed_all2all_w1_f1_same_step,20260728_091742,1.8008050918579102,0.6319830417633057,0.0668785572052002,0.05433464050292969,300,0.00018038431803385417,0.00016987323760986328,0.0001862049102783203,,1329.85546875,1500.71,44170.71646716046,on,cross_fed,all2all,1,1,same_step,16,4,4,4
2,4,1,seq,,zmq_ss,exchange_dummy,,local,1,300,2,scaling_F2_N4_M1_seq_zmq_ss_local_xcross_fed_all2all_w1_f1_same_step,20260728_091746,1.7940032482147217,0.6368429660797119,0.07292008399963379,0.052132606506347656,300,0.00017319122950236002,0.000156402587890625,0.00023818016052246094,,1327.8671875,1600.0300000000002,46036.44745266624,on,cross_fed,all2all,1,1,same_step,16,4,4,4
2,4,4,seq,,zmq_ss,exchange_dummy,,local,1,300,0,scaling_F2_N4_M4_seq_zmq_ss_local_xcross_fed_all2all_w1_f1_same_step,20260728_091750,1.7735278606414795,0.635653018951416,0.0712895393371582,0.16741943359375,300,0.0005572644869486491,0.0005317926406860352,0.0006358623504638672,,1350.890625,1664.1899999999998,57341.01348888079,on,cross_fed,all2all,1,1,same_step,64,16,16,16
2,4,4,seq,,zmq_ss,exchange_dummy,,local,1,300,1,scaling_F2_N4_M4_seq_zmq_ss_local_xcross_fed_all2all_w1_f1_same_step,20260728_091754,1.8166794776916504,0.6342992782592773,0.07381510734558105,0.19481730461120605,300,0.0006482752164204916,0.0006856918334960938,0.0009047985076904297,,1347.8203125,1624.7599999999998,49276.93676472208,on,cross_fed,all2all,1,1,same_step,64,16,16,16
2,4,4,seq,,zmq_ss,exchange_dummy,,local,1,300,2,scaling_F2_N4_M4_seq_zmq_ss_local_xcross_fed_all2all_w1_f1_same_step,20260728_091757,1.880826711654663,0.6342623233795166,0.07225203514099121,0.15924549102783203,300,0.0005298590660095215,0.0005395412445068359,0.0006384849548339844,,1344.078125,1844.9299999999998,60284.28144519436,on,cross_fed,all2all,1,1,same_step,64,16,16,16
2,4,16,seq,,zmq_ss,exchange_dummy,,local,1,300,0,scaling_F2_N4_M16_seq_zmq_ss_local_xcross_fed_all2all_w1_f1_same_step,20260728_091801,1.7952604293823242,0.6357345581054688,0.07283711433410645,0.4454224109649658,300,0.0014838886260986328,0.0012235641479492188,0.0022115707397460938,,1352.953125,1812.5,86210.30072737024,on,cross_fed,all2all,1,1,same_step,256,64,64,64
2,4,16,seq,,zmq_ss,exchange_dummy,,local,1,300,1,scaling_F2_N4_M16_seq_zmq_ss_local_xcross_fed_all2all_w1_f1_same_step,20260728_091805,1.7872133255004883,0.6338508129119873,0.07287740707397461,0.3574514389038086,300,0.0011907450358072916,0.0012090206146240234,0.0012972354888916016,,1352.875,1909.5300000000002,107427.17980870562,on,cross_fed,all2all,1,1,same_step,256,64,64,64
2,4,16,seq,,zmq_ss,exchange_dummy,,local,1,300,2,scaling_F2_N4_M16_seq_zmq_ss_local_xcross_fed_all2all_w1_f1_same_step,20260728_091809,1.893214464187622,0.6319694519042969,0.07198810577392578,0.3756904602050781,300,0.0012514869372049968,0.001130819320678711,0.0015883445739746094,,1356.41796875,2183.12,102211.80484337716,on,cross_fed,all2all,1,1,same_step,256,64,64,64
2,4,1,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,0,scaling_F2_N4_M1_seq_zmq_ss_distributed_nat_xcross_machine_all2all_w1_f1_same_step,20260728_091812,2.813314437866211,0.6398580074310303,0.048714399337768555,0.04871845245361328,300,0.00016186396280924478,0.00010383129119873047,0.00023031234741210938,,794.38671875,813.3230769230769,49262.64852696486,on,cross_machine,all2all,1,1,same_step,16,4,4,4
2,4,1,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,1,scaling_F2_N4_M1_seq_zmq_ss_distributed_nat_xcross_machine_all2all_w1_f1_same_step,20260728_091817,2.768355131149292,0.6400344371795654,0.04897761344909668,0.06496453285217285,300,0.0002158649762471517,0.00021779537200927734,0.00026702880859375,,795.953125,826.0076923076923,36943.23494115186,on,cross_machine,all2all,1,1,same_step,16,4,4,4
2,4,1,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,2,scaling_F2_N4_M1_seq_zmq_ss_distributed_nat_xcross_machine_all2all_w1_f1_same_step,20260728_091822,2.9106156826019287,0.6392323970794678,0.04922080039978027,0.04911231994628906,300,0.0001631633440653483,0.0001678466796875,0.00022673606872558594,,791.84765625,737.69375,48867.575439822904,on,cross_machine,all2all,1,1,same_step,16,4,4,4
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,0,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_all2all_w1_f1_same_step,20260728_091827,3.3199846744537354,0.6359360218048096,0.04696321487426758,0.1211397647857666,300,0.00040305296579996744,0.00034999847412109375,0.0004646778106689453,,790.36328125,748.8058823529411,79247.30592780512,on,cross_machine,all2all,1,1,same_step,64,16,16,16
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,1,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_all2all_w1_f1_same_step,20260728_091834,3.0696663856506348,0.631462574005127,0.03921818733215332,0.1413438320159912,300,0.0004703172047932943,0.0005391836166381836,0.00061798095703125,,798.1328125,770.25625,67919.4830299626,on,cross_machine,all2all,1,1,same_step,64,16,16,16
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,2,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_all2all_w1_f1_same_step,20260728_091839,3.190293788909912,0.6345281600952148,0.04615330696105957,0.1213369369506836,300,0.00040379603703816734,0.00035631656646728516,0.0004916191101074219,,795.5078125,712.0411764705883,79118.52928924555,on,cross_machine,all2all,1,1,same_step,64,16,16,16
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,0,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_Nto1_w1_f1_same_step,20260728_091845,2.9711971282958984,0.6341960430145264,0.0449063777923584,0.10976386070251465,300,0.00036518176396687827,0.00033545494079589844,0.0004627704620361328,,788.71484375,712.10625,87460.4805129642,on,cross_machine,Nto1,1,1,same_step,16,4,16,4
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,1,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_Nto1_w1_f1_same_step,20260728_091851,3.4749746322631836,0.7362616062164307,0.04682803153991699,0.09862422943115234,300,0.00032815138498942055,0.0003018379211425781,0.0003218650817871094,,794.9140625,748.7411764705882,97339.16356427985,on,cross_machine,Nto1,1,1,same_step,16,4,16,4
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,2,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_Nto1_w1_f1_same_step,20260728_091857,3.237382411956787,0.6357426643371582,0.046578168869018555,0.10489439964294434,300,0.00034906784693400063,0.0003039836883544922,0.00033736228942871094,,794.23828125,717.1882352941177,91520.61533006484,on,cross_machine,Nto1,1,1,same_step,16,4,16,4
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,0,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_1toN_w1_f1_same_step,20260728_091903,3.3789517879486084,0.6407020092010498,0.04934096336364746,0.09981441497802734,300,0.00033208608627319333,0.00029659271240234375,0.0003578662872314453,,797.796875,688.4411764705883,96178.49287713901,on,cross_machine,1toN,1,1,same_step,16,16,4,16
2,4,4,seq,,zmq_ss,exchange_dummy,,distributed_nat,3,300,1,scaling_F2_N4_M4_seq_zmq_ss_distributed_nat_xcross_machine_1toN_w1_f1_same_step,20260728_091909,3.2691619396209717,0.6392626762390137,0.049790143966674805,0.09975457191467285,300,0.00033188978830973306,0.0002974271774291992,0.0003325939178466797,,789.47265625,763.4882352941177,96236.19064007973,on,cross_machine,1toN,1,1,same_step,16,16,4,16
