F,N,M,mode,W,core_type,model,work,placement,n_machines,n_ticks,repeat,scenario_name,sim_id,setup_s,broker_setup_s,federate_spawn_s,sim_wall_s,perf_n_ticks,tick_mean_s,tick_median_s,tick_p95_s,failure_mode,peak_rss_mb,cpu_util_pct,throughput_inst_steps_s,exchange,distance,fanout,msg_width,freq,causality,n_edges,n_subs,max_fed_in,max_fed_out
2,2,4,seq,,zmq,exchange_dummy,,local,1,300,0,scaling_F2_N2_M4_seq_zmq_local,20260728_082547,1.6236517429351807,0.6340882778167725,0.040836334228515625,0.03777337074279785,300,0.00012517293294270833,9.047985076904297e-05,0.00029206275939941406,,779.8671875,1170.7900000000002,127073.64753555131,none,,,1,1,,0,0,0,0
2,2,4,seq,,zmq,exchange_dummy,,local,1,300,1,scaling_F2_N2_M4_seq_zmq_local,20260728_082551,1.6455471515655518,0.636162519454956,0.0394284725189209,0.037550926208496094,300,0.00012436310450236003,8.440017700195312e-05,0.0002911090850830078,,777.85546875,1151.29,127826.40761904762,none,,,1,1,,0,0,0,0
2,2,4,seq,,zmq,exchange_dummy,,local,1,300,2,scaling_F2_N2_M4_seq_zmq_local,20260728_082555,1.607879638671875,0.633267879486084,0.039206743240356445,0.039092063903808594,300,0.00012955745061238606,9.393692016601562e-05,0.000293731689453125,,780.75390625,1130.59,122787.07033251201,none,,,1,1,,0,0,0,0
2,4,1,seq,,zmq,exchange_dummy,,local,1,300,0,scaling_F2_N4_M1_seq_zmq_local,20260728_082558,1.771205186843872,0.6353092193603516,0.07284355163574219,0.027365922927856445,300,9.018421173095703e-05,5.555152893066406e-05,0.00013566017150878906,,1328.5859375,1497.0099999999998,87700.31276953503,none,,,1,1,,0,0,0,0
2,4,1,seq,,zmq,exchange_dummy,,local,1,300,1,scaling_F2_N4_M1_seq_zmq_local,20260728_082602,1.7906720638275146,0.6360325813293457,0.07416677474975586,0.0227963924407959,300,7.510900497436523e-05,6.29425048828125e-05,0.000125885009765625,,1328.71484375,1359.6,105279.81592846311,none,,,1,1,,0,0,0,0
2,4,1,seq,,zmq,exchange_dummy,,local,1,300,2,scaling_F2_N4_M1_seq_zmq_local,20260728_082606,1.872593641281128,0.6359498500823975,0.07188773155212402,0.02456831932067871,300,8.099158604939778e-05,5.602836608886719e-05,0.00015997886657714844,,1325.11328125,1454.34,97686.77981891758,none,,,1,1,,0,0,0,0
2,4,2,seq,,zmq,exchange_dummy,,local,1,300,0,scaling_F2_N4_M2_seq_zmq_local,20260728_082610,1.745283842086792,0.6309387683868408,0.07161521911621094,0.029082775115966797,300,9.609381357828776e-05,7.939338684082031e-05,0.00017714500427246094,,1328.76171875,1504.0,165046.1477922972,none,,,1,1,,0,0,0,0
2,4,2,seq,,zmq,exchange_dummy,,local,1,300,1,scaling_F2_N4_M2_seq_zmq_local,20260728_082613,1.7837238311767578,0.631157398223877,0.07138776779174805,0.02840709686279297,300,9.38550631205241e-05,8.475780487060547e-05,0.00018644332885742188,,1329.4921875,1424.73,168971.86020747304,none,,,1,1,,0,0,0,0
2,4,2,seq,,zmq,exchange_dummy,,local,1,300,2,scaling_F2_N4_M2_seq_zmq_local,20260728_082617,1.7778127193450928,0.6336429119110107,0.07207679748535156,0.029023170471191406,300,9.579817454020182e-05,6.4849853515625e-05,0.00018334388732910156,,1328.8828125,1458.31,165385.10169881379,none,,,1,1,,0,0,0,0
2,4,4,seq,,zmq,exchange_dummy,,local,1,300,0,scaling_F2_N4_M4_seq_zmq_local,20260728_082621,1.8062193393707275,0.63446044921875,0.07239890098571777,0.039696455001831055,300,0.00013156414031982423,9.512901306152344e-05,0.0002963542938232422,,1327.03515625,1534.23,241835.19660778742,none,,,1,1,,0,0,0,0
